tree,wave,weighted,mean_branch,nBranches
49,whole epidemic,275.6283258015831,650.838936466378,566
49,Wave 1,180.4508853357186,467.8055825687351,132
49,Wave 2,286.9200771272456,626.6384201073827,242
49,Wave 3,323.66390325099695,719.3354495303662,222
50,whole epidemic,260.3631226499577,569.2297355180953,566
50,Wave 1,171.73943600416393,385.1954284488448,132
50,Wave 2,267.5745712844503,582.8475609323513,242
50,Wave 3,314.610784563989,607.328220886536,222
51,whole epidemic,264.45085601747223,541.5554413180506,566
51,Wave 1,168.2866714960124,372.54212903051445,130
51,Wave 2,280.4948026317813,555.3711573698328,247
51,Wave 3,306.9996305898042,573.123703730806,220
52,whole epidemic,256.1954747991875,569.1962805602639,566
52,Wave 1,149.21870268802567,305.16456888187815,130
52,Wave 2,275.68354326786186,661.3559124519459,243
52,Wave 3,309.38078151315,568.0324250232162,222
53,whole epidemic,270.0510040960466,614.3299761266326,566
53,Wave 1,162.80967107170724,481.1489711112831,130
53,Wave 2,284.63162070431673,677.8206868715492,239
53,Wave 3,327.3957691511908,570.9237042400872,224
54,whole epidemic,267.09784049600637,603.3476589581811,566
54,Wave 1,156.2244587896517,441.7282619816818,130
54,Wave 2,285.17015797089016,602.260170423659,243
54,Wave 3,323.51180651624173,641.9018317181971,222
55,whole epidemic,265.1749115834362,670.8750641561451,566
55,Wave 1,156.63990278605812,393.90723003893135,128
55,Wave 2,283.64076578513465,563.7701777073496,246
55,Wave 3,322.4459622258978,882.751181311597,221
56,whole epidemic,262.2198461550005,585.5157665131278,566
56,Wave 1,165.67640967643155,543.1067099240365,130
56,Wave 2,276.02459673230436,569.2370314637797,247
56,Wave 3,312.0715712574269,572.2657110364856,220
57,whole epidemic,273.3268525716208,623.58462244553,566
57,Wave 1,188.7324937835686,685.0146929033544,130
57,Wave 2,280.29929605033357,605.1326175356519,241
57,Wave 3,321.0306418117761,555.0930450259959,223
58,whole epidemic,267.25923630080194,535.5308173243834,566
58,Wave 1,173.96986371910455,382.0386379042875,132
58,Wave 2,279.5136690576719,538.8134909523532,246
58,Wave 3,319.5052610890069,582.0991941683851,220
59,whole epidemic,264.18059731370926,523.5658780115789,566
59,Wave 1,173.1388514369202,441.219565348687,130
59,Wave 2,279.46158125852935,490.01373768324925,239
59,Wave 3,308.9436405855128,563.3253983001222,224
60,whole epidemic,240.044686986013,475.73435840238375,566
60,Wave 1,136.1990903549161,472.13639153118413,132
60,Wave 2,255.37804568131952,434.9750583731453,250
60,Wave 3,302.91122071835724,473.13442187336426,218
61,whole epidemic,269.5182501209629,654.7950627185335,566
61,Wave 1,162.1494694347118,515.0016643483651,134
61,Wave 2,282.96408325124673,579.6073639985443,245
61,Wave 3,332.4934774903267,747.2294792192332,220
62,whole epidemic,258.70556459287957,513.01803557376,566
62,Wave 1,154.14162890687365,371.8302869994725,132
62,Wave 2,273.84523461358503,559.988384327573,252
62,Wave 3,318.9292283656371,491.97649186960456,217
63,whole epidemic,260.72830102767455,589.0023438540337,566
63,Wave 1,163.41985218764034,589.0793034240764,130
63,Wave 2,273.3892617916645,542.1867937518305,243
63,Wave 3,318.70556073611624,592.7461905653419,222
64,whole epidemic,270.0282852979094,595.6081863528733,566
64,Wave 1,169.44336979192946,422.9354678222064,130
64,Wave 2,278.92213026494466,583.2172275931587,253
